Var1_Dim1_Item1;Var1_Dim1_Item2;Var1_Dim1_Item3;Var1_Dim1_Item4;Var1_Dim1_Item5;Var1_Dim1_Item6;Var1_Dim1_Item7;Var1_Dim2_Item1;Var1_Dim2_Item2;Var1_Dim2_Item3;Var1_Dim2_Item4;Var1_Dim2_Item5;Var1_Dim2_Item6;Var1_Dim2_Item7;Var1_Dim3_Item1;Var1_Dim3_Item2;Var1_Dim3_Item3;Var1_Dim3_Item4;Var1_Dim3_Item5;Var1_Dim3_Item6
5;5;5;5;5;5;5;1;1;2;1;4;2;2;1;1;1;2;1;1
2;2;2;2;2;2;2;1;2;2;3;1;2;2;5;5;3;2;2;4
5;5;5;5;5;5;5;4;5;3;3;2;3;4;5;4;5;4;4;3
1;1;2;2;2;2;2;1;3;3;2;1;1;3;5;2;4;4;3;4
4;4;4;4;4;4;4;2;2;4;1;2;2;3;1;4;1;3;2;4
5;5;5;5;5;5;5;3;3;5;4;3;2;4;1;4;5;3;3;2
2;2;2;2;2;2;2;5;5;1;3;2;4;3;1;1;2;1;1;3
3;3;3;3;3;3;3;5;5;3;4;5;2;4;1;2;1;1;1;2
5;5;5;5;5;5;5;1;1;2;1;4;4;2;1;1;3;3;4;5
4;4;4;4;4;4;4;1;2;1;2;3;2;2;1;1;3;4;1;1
3;3;3;3;3;3;3;3;2;4;3;2;3;4;1;2;1;3;3;3
1;1;2;2;2;2;2;5;3;5;4;1;3;1;5;5;3;5;4;4
5;5;5;5;5;5;5;4;5;3;3;3;4;4;1;3;2;2;3;2
4;4;4;4;4;4;4;4;4;4;3;5;5;3;1;1;2;3;4;2
3;3;3;3;3;3;3;5;4;3;4;3;4;5;5;5;5;5;3;5
4;4;4;4;4;4;4;2;1;4;4;3;4;1;5;5;4;5;5;3
3;3;3;3;3;3;3;5;4;4;4;5;5;3;5;4;3;2;4;4
1;1;2;2;2;2;2;2;2;3;4;3;1;3;1;2;4;3;3;3
5;5;5;5;5;5;5;1;1;1;2;2;1;1;5;3;5;4;5;1
3;3;3;3;3;3;3;1;1;2;3;3;3;2;3;3;4;2;2;5
3;3;3;3;3;3;3;5;5;5;5;5;4;4;4;2;3;2;3;2
3;3;3;3;3;3;3;4;4;4;3;3;5;4;4;3;4;1;2;3
1;1;2;2;2;2;2;5;5;4;5;2;3;3;5;5;3;4;4;2
3;3;3;3;3;3;3;1;2;1;1;3;2;3;5;3;3;4;4;3
1;1;2;2;2;2;2;5;4;4;5;5;5;5;5;3;3;3;5;4
